PassengerId,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Pclass_1,Pclass_2,Pclass_3
1,1,0.27345609420017536,1,0,0.014151057562208049,0,0,1,0,0,1
2,0,0.47388199924840285,1,0,0.13913573538264068,1,0,0,1,0,0
3,0,0.32356257046223225,0,0,0.015468569817999833,0,0,1,0,0,1
4,0,0.4363021420518602,1,0,0.10364429745562033,0,0,1,1,0,0
5,1,0.4363021420518602,0,0,0.015712553569072387,0,0,1,0,0,1
6,1,0.37218010356136805,0,0,0.01650950209357577,0,1,0,0,0,1
7,1,0.6743079042966303,0,0,0.10122885832000206,0,0,1,1,0,0
8,1,0.02292371288989102,3,1,0.04113566043083236,0,0,1,0,0,1
9,0,0.33608918952774647,0,2,0.021730754366528396,0,0,1,0,0,1
10,0,0.17324314167606164,1,0,0.058694292654020104,1,0,0,0,1,0
11,0,0.04797695102091946,1,1,0.03259622914329302,0,0,1,0,0,1
12,0,0.7244143805586872,0,0,0.051822148727810165,0,0,1,1,0,0
13,1,0.24840285606914692,0,0,0.015712553569072387,0,0,1,0,0,1
14,1,0.4864086183139171,1,5,0.06104473451835265,0,0,1,0,0,1
15,0,0.17324314167606164,0,0,0.015330377421392339,0,0,1,0,0,1
16,0,0.6868345233621446,0,0,0.03122992013728673,0,0,1,0,1,0
17,1,0.02292371288989102,4,1,0.056848213999904744,0,1,0,0,0,1
18,1,0.37218010356136805,0,0,0.025374310111545468,0,0,1,0,1,0
19,0,0.3861956657898033,1,0,0.03513366015444757,0,0,1,0,0,1
20,0,0.37218010356136805,0,0,0.014102260811993537,1,0,0,0,0,1
21,1,0.4363021420518602,0,0,0.050748620223090936,0,0,1,0,1,0
22,1,0.42377552298634596,0,0,0.025374310111545468,0,0,1,0,1,0
23,0,0.18576976074157586,0,0,0.015671954672893913,0,1,0,0,0,1
24,1,0.3486158085932607,0,0,0.06929138530460492,0,0,1,1,0,0
25,0,0.09808342728297632,3,1,0.04113566043083236,0,0,1,0,0,1
26,0,0.47388199924840285,1,5,0.061264319894317944,0,0,1,0,0,1
27,1,0.37218010356136805,0,0,0.014102260811993537,1,0,0,0,0,1
28,1,0.2358762370036327,3,2,0.5133418122566505,0,0,1,1,0,0
29,0,0.37218010356136805,0,0,0.01537917417160685,0,1,0,0,0,1
30,1,0.37218010356136805,0,0,0.015411575213749284,0,0,1,0,0,1
31,1,0.4989352373794313,0,0,0.05410739813385612,1,0,0,1,0,0
32,0,0.37218010356136805,1,0,0.2859895551532101,1,0,0,1,0,0
33,0,0.37218010356136805,0,0,0.015126992566498259,0,1,0,0,0,1
34,1,0.8246273330828009,0,0,0.020494635090094415,0,0,1,0,1,0
35,1,0.3486158085932607,1,0,0.16038672010106,1,0,0,1,0,0
36,1,0.5239884755104597,1,0,0.10149724044618187,0,0,1,1,0,0
37,1,0.37218010356136805,0,0,0.014110458666029575,1,0,0,0,0,1
38,1,0.26092947513466114,0,0,0.015712553569072387,0,0,1,0,0,1
39,0,0.22334961793811847,2,0,0.03513366015444757,0,0,1,0,0,1
40,0,0.17324314167606164,1,0,0.021942337075458514,1,0,0,0,0,1
41,0,0.4989352373794313,1,0,0.018493968331299484,0,0,1,0,0,1
42,0,0.33608918952774647,1,0,0.04098927018018883,0,0,1,0,1,0
43,1,0.37218010356136805,0,0,0.015411575213749284,1,0,0,0,0,1
44,0,0.035450331955405236,1,2,0.08115719346076702,1,0,0,0,1,0
45,0,0.2358762370036327,0,0,0.01537917417160685,0,1,0,0,0,1
46,1,0.37218010356136805,0,0,0.015712553569072387,0,0,1,0,0,1
47,1,0.37218010356136805,1,0,0.030253985132996517,0,1,0,0,0,1
48,0,0.37218010356136805,0,0,0.015126992566498259,0,1,0,0,0,1
49,1,0.37218010356136805,2,0,0.04231498029001666,1,0,0,0,0,1
50,0,0.22334961793811847,1,0,0.034743286152731485,0,0,1,0,0,1
51,1,0.08555680821746212,4,1,0.07746484096553544,0,0,1,0,0,1
52,1,0.26092947513466114,0,0,0.01522458606692728,0,0,1,0,0,1
53,0,0.6116748089690592,1,0,0.1497654242623688,1,0,0,1,0,0
54,0,0.36114242765877486,1,0,0.050748620223090936,0,0,1,0,1,0
55,1,0.8121007140172868,0,1,0.1209753416358076,1,0,0,1,0,0
56,1,0.37218010356136805,0,0,0.06929138530460492,0,0,1,1,0,0
57,0,0.26092947513466114,0,0,0.020494635090094415,0,0,1,0,1,0
58,1,0.3548791181260178,0,0,0.014110458666029575,1,0,0,0,0,1
59,0,0.06050357008643367,1,2,0.05416439273810667,0,0,1,0,1,0
60,1,0.13566328447951898,5,2,0.09154270340242172,0,0,1,0,0,1
61,1,0.27345609420017536,0,0,0.014110458666029575,1,0,0,0,0,1
62,0,0.47388199924840285,0,0,0.15614960068643363,0,0,0,1,0,0
63,1,0.5615683327070023,1,0,0.16293234896625058,0,0,1,1,0,0
64,1,0.04797695102091946,3,2,0.05445717323939373,0,0,1,0,0,1
65,1,0.37218010356136805,0,0,0.05410739813385612,1,0,0,1,0,0
66,1,0.37218010356136805,1,1,0.029757819776815374,1,0,0,0,0,1
67,0,0.36114242765877486,0,0,0.020494635090094415,0,0,1,0,1,0
68,1,0.2358762370036327,0,0,0.015923941091001644,0,0,1,0,0,1
69,0,0.21082299887260428,4,2,0.015468569817999833,0,0,1,0,0,1
70,1,0.32356257046223225,2,0,0.016908073949327893,0,0,1,0,0,1
71,1,0.3987222848553175,0,0,0.020494635090094415,0,0,1,0,1,0
72,0,0.19829637980709008,5,2,0.09154270340242172,0,0,1,0,0,1
73,1,0.26092947513466114,0,0,0.1434624456306609,0,0,1,0,1,0
74,1,0.32356257046223225,1,0,0.028212719478023115,1,0,0,0,0,1
75,1,0.3987222848553175,0,0,0.11027245763075773,0,0,1,0,0,1
76,1,0.311035951396718,0,0,0.014931805565640218,0,0,1,0,0,1
77,1,0.37218010356136805,0,0,0.015411575213749284,0,0,1,0,0,1
78,1,0.37218010356136805,0,0,0.015712553569072387,0,0,1,0,0,1
79,1,0.008267568583239383,0,2,0.056604230248832196,0,0,1,0,1,0
80,0,0.3736690467242891,0,0,0.024349578357040744,0,0,1,0,0,1
81,1,0.27345609420017536,0,0,0.017566830077223785,0,0,1,0,0,1
82,1,0.36114242765877486,0,0,0.018542765081513996,0,0,1,0,0,1
83,0,0.37218010356136805,0,0,0.015200187691820024,0,1,0,0,0,1
84,1,0.3486158085932607,0,0,0.09193307740413781,0,0,1,1,0,0
85,0,0.21082299887260428,0,0,0.020494635090094415,0,0,1,0,1,0
86,0,0.41124890392083174,3,0,0.030937139635999665,0,0,1,0,0,1
87,1,0.19829637980709008,1,3,0.06709553154495196,0,0,1,0,0,1
88,1,0.37218010356136805,0,0,0.015712553569072387,0,0,1,0,0,1
89,0,0.2859827132656896,3,2,0.5133418122566505,0,0,1,1,0,0
90,1,0.2985093323312038,0,0,0.015712553569072387,0,0,1,0,0,1
91,1,0.36114242765877486,0,0,0.015712553569072387,0,0,1,0,0,1
92,1,0.24840285606914692,0,0,0.015330377421392339,0,0,1,0,0,1
93,1,0.5740949517725166,1,0,0.11940564777490723,0,0,1,1,0,0
94,1,0.32356257046223225,1,2,0.04015972542654215,0,0,1,0,0,1
95,1,0.7369409996242015,0,0,0.014151057562208049,0,0,1,0,0,1
